,pros,company
915,"Good company to work for, good benefits!",google
56644,"The company is filled with smart, passionate people working on a wide variety of products. There's room to move between products and up the ladder... to a point.",microsoft
34612,"Super smart people to work with, great and exciting work",facebook
35506,"Diverse culture, wonderful place to learn about new technologies and methods, extremely open feedback culture - more like a flat organisation",facebook
5306,"Fantastic talent, incredible resources, great work environment and culture",google
35927,"Amazing benefits, compensation, and culture. Some forms of compensation are a little unusual compared with other companies in the Bay Area (e.g. the medical 'allowance' and risky optional options plan), but there is a good argument for the way Netflix does things.",netflix
35613,"Facebook's culture is incredible and helps employees get the best out of their skills to succeed and achieve massive projects. The management is really one of the best components of Europe, with lots of highly experienced leaders to learn from.  The company offers a ton of benefits to make sure you are covered with everything you need to do your job and manage your personal time in the best possible way.  This is the best place where you can thrive!",facebook
50205,Diversity and inclusion taken very seriously,microsoft
36085,Free Netflix After a certain amount of time they give you extra compensation for healthcare. Able to swap work days work coworkers.,netflix
35980,"Pay is amazing, and kitchen is well stocked.",netflix
35780,"Everyone talks about the amazing perks etc. But that is not the biggest pro. The values are. For me the fact that I can do what I am good at, and really make a a huge impact is absolutely fantastic. Things are going very fast, even with the current company size. Maybe even faster. At Facebook there is a saying that every day is a week, and for me that is true. I think it is very special that moving fast and setting high standards of performance this can go hand in hand with being really good to employees too.",facebook
35722,"A refreshingly rational approach to maximising opportunity and efficiency for individual contributors. You're measured objectively on 'impact' but are free to determine where you can find most impact. I work with undoubtedly the strongest engineers (both max and avg levels), the culture is supportive and fast-moving, and I've developed personally more in 8 months here than I have in years elsewhere.",facebook
314,"perks and utility works just fine, if you like the free food and stuff",google
5643,You have a lot of opportunity’s to career,google
34324,"Free food, 4 weeks vacation, amazing health coverage, 4 mos paid maternity leave.",facebook
36119,"I just hit my 2 year mark at Netflix, and it has been great thus far. It has been quite the whirlwind and learning experience, and I continue to be challenged every day. The partnerships I have formed are immeasurable, and to be involved with a company changing the way entertainment content is consumed is pretty exciting.  Biggest pro in my eyes to working here has been the people. My colleagues truly are ""stunning"" as the culture deck highlights. Really some of the best in the business, and everyone I collaborate with has a clear passion and drive for their work.  Although we move at lightning speed, it pushes me to excel, and not simply coast through the day to day grind.",netflix
35425,Surrounded by smart people with incredible experience. My peers are founders and inventors and role models. Given every opportunity to succeed including resources and people. Management that focuses on employee happiness and personal development.,facebook
35702,"Great culture. Generally more open and transparent than most organization. People take ownership of what they do and take pride in the impact they make.  Internal mobility among roles, teams and locations is great and there are programs that help with mobility.",facebook
5380,"It will not take much time, more power and it will upgrade my knowledge of using internet. Since I am working in day time I am free at night, so it is helpful to use my part-time.",google
4877,The food is outstanding. There are good people who have every right to be elitist who are not (not sure how many are left though). If you enjoy building teams and enjoy having the resources to execute on projects then Google is a good place to be. Depending upon how your options are priced Google can lead you to a rich life of spending your time commenting on Google on web sites like this.,google
1503,It was Good working there,google
2272,"Really intelligent people to work with, great infrastructure and tools, focus on excellence.",google
2502,"Great benefits and work-life balance, smart people and interesting products",google
7570,"benefits are top rate amenities - food, gym, free events with celebrities discounts prestige",google
52390,"The company has a great brand and there is good mobility within the company which can offer some folks good mobility. If your skills fall within a particular narrow range, they will keep you busy using them. Mostly software consulting",microsoft
34666,Good place to work. Treats you well.,facebook
35793,"Great deal of flexibility Most amazing senior management and some of the best mentors The perfect place to kickstart your career and learn about the corporate A dynamic organization with well defined structures. But not so rigidly defined that you lose out on flexibility free food, great parties and offsites, intellectual and passionate people and the best culture",facebook
5496,very nice environment and good place,google
36299,"Incredibly talented, smart, driven coworkers across every function of the organization. Unusually organized and efficiently run. Feel lucky if you get the opportunity to be part of such an amazing place and such an incredible time. It is rare.",netflix
36227,"Good ""brand"" for your resume, I guess. Outsiders will be impressed, if only because the PR machine has been in overdrive convincing people that this is still an innovative company. But a stock price bubble does not equal innovation.",netflix
35690,"Great place to work, fantastic colleagues, developing yet supportive environment.",facebook
36216,Great company to work for. Things to watch out are to ensure that you always deliver on time and to specification. No excuses.,netflix
34960,"Very open culture, super fast-moving, incredible resources at your disposal, including managerial support + autonomy (in my experience, it's rare to truly have both), and really great benefits",facebook
36395,"Amazingly smart people. Business looks easy but is complicated--hard problems to solve which is why I am here. I get to do work that affects our customers, directly...way cool that my role has that much impact.",netflix
35615,"> Open Culture: decisions are announced openly, without sugar coating and pretence and it comes from the very top! Mark, Sheryl and all the leaders are very straight forward on their answers during the weekly Q&A - there is nothing they shine away from and, when they don't know much about the topic they either find somebody that does or follow it up.  > Real flat organisation: many other companies misinterprete what employees mean by 'flat organisation' - they are not talking about the number levels between junior and senior people, but on how open senior leadership is. FB doesn't make that mistake, you can talk to anybody here, from managers to directors and VPs and they all listen to you attentively, as a peer, not as a 'superior'. Employees at FB are all valued the same.  > Perks are amazing: it is not about the amount of perks, but how those perks make your life much better. Instead of trowing whatever at employees, FB conducts regular surveys to understand which benefits are valued or not and adjust them accordingly. The benefits provided by FB are geared towards making our lifes easier, so we can focus more on giving people the power to build communities and bring the world closer together.",facebook
35407,"It was hard to leave my previous job, but Facebook was too good to pass up. The most brilliant people I've ever met are pretty much all here. We're altering the way people communicate and interact, and the side benefits are too numerous to mention.",facebook
36567,Good company culture and very nice people,netflix
36115,Good work life balance at Netflix,netflix
1774,"1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.  2) Benefits/perks. Free 24:7 gym access (on MTV campus). Free (self service) laundry (washer/dryer) available. Bowling alley. Volley ball pit. Custom-built and exclusive employee use only outdoor sport park (MTV). Free health/fitness assessments. Dog-friendly. Etc. etc.",google
36201,Every day is different and you can leave it at the door on the way out. Free food.,netflix
50652,Change to work on emerging technologies Fantastic Benefits Most employees welcome collaboration CEO has reinvigorated the company,microsoft
6034,"Great colleagues, work culture, lots of different job option and opportunities to move around",google
2727,Treated well and as an equal,google
59868,If you get into a good group you can work on some exciting things and with some great people. It looks good on a resume.,microsoft
60377,"Brand, Overall package, great people, fun environment",microsoft
35771,"Strong culture of passion, learning, openness / transparency, direct feedback, and everything is designed around empowering engineers to ship things quickly with a lot of autonomy. Growing everywhere and lots of opportunities for driving projects at whatever level you are able. And the people are wonderful - many of them feel like old friends even though we've worked together only a short time.",facebook
36006,"Very strong culture, smart colleagues, great product.",netflix
50550,very good at communicating knowledge,microsoft
65943,you have everything to be successful and high degree of autonomy,microsoft
7630,"Google was a great place to work with colleagues, and grow my career. I am forever grateful to being lucky enough to be a part of Google.",google
36149,"Nice coworkers and down to earth management, that really knew how to make employees feel valuable.",netflix
35652,"Good salary, culture, benefits, business prospects",facebook
35283,"_Everyone is world-class in everything they do, from PMs to Legal to Engineers who are some of the best around. _The challenges are huge, the impact is vast _Anyone can propose ideas and try them out as an experiment, the best experiments will make it out to 1 billion people! _Free food _Tons of awesome perks",facebook
36591,"Very smart, talented coworkers Tons of opportunity if you're willing to work for it One of the most open companies I've ever worked for Moves fast, usually makes the right decisions Still a great value despite all that price increase business Willing to admit they've made mistakes and change direction if need be",netflix
6935,its good corprate cpmpany i love that company,google
978,great and fast and awesome,google
35242,"I've been able to define my career trajectory here by focusing on projects that I think will have the highest impact on the business. It's up to me to fight for the resources (people, time, money) I need to complete the project. But at the end of the day and after a lot of hard work, Facebook is a place where I can take a vision and take it to fruition.",facebook
6025,Good working environment Cooperative Helping Friendly,google
36549,Great colleagues -- incredible really,netflix
34756,People care about helping others and live by the company's values. Huge opportunity to learn. Great autonomy and flexibility for employees.,facebook
35407,"It was hard to leave my previous job, but Facebook was too good to pass up. The most brilliant people I've ever met are pretty much all here. We're altering the way people communicate and interact, and the side benefits are too numerous to mention.",facebook
34612,"Super smart people to work with, great and exciting work",facebook
54971,"Meaningful project, great mentors, international travel opportunities",microsoft
249,"Smart & hardworking teammates, perfect work-life balance and great benefits",google
35458,Very open culture. Great internal communication. Management does a good job of trusting and delegating work. The best people I have worked with. Fast pace of work. The high execution focus and speed of change is amazingly - I have worked on a large number of projects that have been quickly completed and and successfully implemented.,facebook
1261,Good campus and benefits available,google
5802,Pay. Benefits. Work location in Europe. Good promotional system. Good on CV (reason to leave),google
60809,"Let's face it, the benefits package is second to none in the Seattle area. Lots of training opportunities. Great if you thrive on chaos and can make things happen.",microsoft
36323,The pay is above average. The environment is kept very clean. The dress code is very relaxed.,netflix
7470,google is a very relaxed environment,google
36362,"Great pay, good benefits and an annual bonus package to pay for benefits with the option to pocket what you do not use. Decent hourly rate of pay for the industry.",netflix
